0,20220101,2022-01-01,01,01,2022
1,20220102,2022-01-02,02,01,2022
2,20220103,2022-01-03,03,01,2022
3,20220104,2022-01-04,04,01,2022
4,20220105,2022-01-05,05,01,2022
5,20220106,2022-01-06,06,01,2022
6,20220107,2022-01-07,07,01,2022
7,20220108,2022-01-08,08,01,2022
8,20220109,2022-01-09,09,01,2022
9,20220110,2022-01-10,10,01,2022
10,20220111,2022-01-11,11,01,2022
11,20220112,2022-01-12,12,01,2022
12,20220113,2022-01-13,13,01,2022
13,20220114,2022-01-14,14,01,2022
14,20220115,2022-01-15,15,01,2022
15,20220116,2022-01-16,16,01,2022
16,20220117,2022-01-17,17,01,2022
17,20220118,2022-01-18,18,01,2022
18,20220119,2022-01-19,19,01,2022
19,20220120,2022-01-20,20,01,2022
20,20220121,2022-01-21,21,01,2022
21,20220122,2022-01-22,22,01,2022
22,20220123,2022-01-23,23,01,2022
23,20220124,2022-01-24,24,01,2022
24,20220125,2022-01-25,25,01,2022
25,20220126,2022-01-26,26,01,2022
26,20220127,2022-01-27,27,01,2022
27,20220128,2022-01-28,28,01,2022
28,20220129,2022-01-29,29,01,2022
29,20220130,2022-01-30,30,01,2022
30,20220131,2022-01-31,31,01,2022
31,20220201,2022-02-01,01,02,2022
32,20220202,2022-02-02,02,02,2022
33,20220203,2022-02-03,03,02,2022
34,20220204,2022-02-04,04,02,2022
35,20220205,2022-02-05,05,02,2022
36,20220206,2022-02-06,06,02,2022
37,20220207,2022-02-07,07,02,2022
38,20220208,2022-02-08,08,02,2022
39,20220209,2022-02-09,09,02,2022
40,20220210,2022-02-10,10,02,2022
41,20220211,2022-02-11,11,02,2022
42,20220212,2022-02-12,12,02,2022
43,20220213,2022-02-13,13,02,2022
44,20220214,2022-02-14,14,02,2022
45,20220215,2022-02-15,15,02,2022
46,20220216,2022-02-16,16,02,2022
47,20220217,2022-02-17,17,02,2022
48,20220218,2022-02-18,18,02,2022
49,20220219,2022-02-19,19,02,2022
50,20220220,2022-02-20,20,02,2022
51,20220221,2022-02-21,21,02,2022
52,20220222,2022-02-22,22,02,2022
53,20220223,2022-02-23,23,02,2022
54,20220224,2022-02-24,24,02,2022
55,20220225,2022-02-25,25,02,2022
56,20220226,2022-02-26,26,02,2022
57,20220227,2022-02-27,27,02,2022
58,20220228,2022-02-28,28,02,2022
59,20220301,2022-03-01,01,03,2022
60,20220302,2022-03-02,02,03,2022
61,20220303,2022-03-03,03,03,2022
